"","taxa","area_km_newcells","n_newcells","prop_canadaarea"
"1","Actinopterygii",4407.03402113914,4407,0.0441323381519579
"2","Amphibia",6936.05359256268,6936,0.0694581119906933
"3","Animalia",4680.0361045599,4680,0.0468661995662157
"4","Arachnida",10123.0781834126,10123,0.101373192806347
"5","Aves",13347.1028118134,13347,0.133658794512242
"6","Chromista",803.006161570549,803,0.00804135826738567
"7","Fungi",15233.1174070835,15233,0.152545472826669
"8","Insecta",27044.2086904049,27044,0.270822543518409
"9","Mammalia",9758.07513201237,9758,0.0977180274471459
"10","Mollusca",5096.03931951523,5096,0.0510320840287923
"11","Plantae",38456.2962362766,38456,0.385103963670454
"12","Protozoa",2104.01624059677,2104,0.0210697616042516
"13","Reptilia",5941.04598784447,5941,0.0594940382248541
